pl_name,hostname,tic_id,st_mass,st_masserr1,st_masserr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
TOI-3688 A b,TOI-3688 A,TIC 245509452,1.199,0.072,-0.076,12.241,0.028,-0.028,10.732,0.02,-0.02,0.0456,0.00089,-0.00098,0.0,,
K2-136 c,K2-136,TIC 18310799,0.742,0.039,-0.038,11.101,0.057,-0.057,8.368,0.019,-0.019,0.1185,0.002,-0.0021,0.047,0.062,-0.034
KMT-2021-BLG-1105L b,KMT-2021-BLG-1105L,,0.63,0.33,-0.33,,,,,,,3.54,1.06,-1.06,,,
HD 114082 b,HD 114082,TIC 441546821,1.47,0.07,-0.07,8.2,0.03,-0.03,7.163,0.031,-0.031,0.5109,0.0081,-0.0083,0.395,0.037,-0.039
TOI-3807 b,TOI-3807,TIC 289661991,1.181,0.064,-0.092,11.856,0.02,-0.02,10.617,0.019,-0.019,0.0421,0.0007,-0.0011,0.0,,
K2-415 b,K2-415,TIC 323687123,0.1635,0.0041,-0.0041,15.33,0.027,-0.027,9.899,0.023,-0.023,0.027,0.00023,-0.00023,,,
pi Men d,HD 39091,TIC 261136679,1.07,0.04,-0.04,5.65,0.03,-0.03,4.241,0.027,-0.027,,,,0.22,0.079,-0.079
MOA-2019-BLG-008L b,MOA-2019-BLG-008L,,0.9,0.2,-0.1,,,,,,,,,,,,
TOI-1260 b,TOI-1260,TIC 355867695,0.679,0.095,-0.057,11.922,0.034,-0.034,8.95,0.022,-0.022,0.0367,0.0011,-0.0011,0.0,,
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,,0.92,0.49,-0.32,,,,,,,3.29,4.15,-2.52,,,
TOI-4342 b,TOI-4342,TIC 354944123,0.6296,0.0086,-0.0086,12.669,0.057,-0.057,9.018,0.021,-0.021,0.05251,0.00011,-0.00011,,,
TOI-4087 b,TOI-4087,TIC 310002617,1.178,0.039,-0.042,12.107,0.023,-0.023,10.436,0.025,-0.025,0.04469,0.00048,-0.00054,0.0,,
Kepler-68 d,Kepler-68,TIC 417676622,1.057,0.022,-0.02,10.077,0.004,-0.004,8.588,0.022,-0.022,1.469,0.01,-0.01,0.102,0.016,-0.016
TOI-4463 A b,TOI-4463 A,TIC 8599009,1.056,0.059,-0.063,11.036,0.008,-0.008,9.402,0.015,-0.015,0.04036,0.00074,-0.00082,0.0,,
K2-263 b,K2-263,TIC 21276520,0.88,0.03,-0.03,11.568,0.046,-0.046,9.748,0.02,-0.02,0.2573,0.003,-0.003,0.15,,
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,,0.56,0.32,-0.3,,,,,,,2.8,3.3,-2.1,,,
HD 109833 c,HD 109833,TIC 360630575,1.08,0.05,-0.05,9.29,0.03,-0.03,7.82,0.026,-0.026,,,,0.3,0.21,-0.19
KMT-2019-BLG-1806L b,KMT-2019-BLG-1806L,,0.74,0.25,-0.25,,,,,,,3.02,0.7,-0.73,,,
KMT-2019-BLG-1042L b,KMT-2019-BLG-1042L,,0.3,0.34,-0.18,,,,,,,1.7,0.5,-0.5,,,
KMT-2019-BLG-1552L b,KMT-2019-BLG-1552L,,0.79,0.33,-0.36,,,,,,,2.6,0.6,-0.8,,,
HD 80653 b,HD 80653,TIC 55315929,1.18,0.04,-0.04,9.452,0.003,-0.003,8.018,0.021,-0.021,0.01661,0.00019,-0.00019,0.0,,
GJ 1002 c,GJ 1002,TIC 176287658,0.12,0.01,-0.01,13.76,0.02,,7.439,0.021,-0.021,0.0738,0.0021,-0.0021,,,
L 363-38 b,L 363-38,TIC 118585685,0.21,0.014,-0.014,13.027,0.025,-0.025,7.71,0.016,-0.016,0.048,0.006,-0.006,,,
TOI-181 b,TOI-181,TIC 76923707,0.822,0.04,-0.04,11.191,0.019,-0.019,9.047,0.021,-0.021,0.0539,0.0043,-0.0036,0.1543,0.06,-0.03
TOI-733 b,TOI-733,TIC 106402532,0.956,0.05,-0.026,9.44,0.003,-0.003,7.845,0.024,-0.024,0.0618,0.0036,-0.0039,0.046,0.056,-0.033
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,,0.7,0.34,-0.31,,,,,,,3.1,0.8,-0.9,,,
HD 23472 e,HD 23472,TIC 425997655,0.67,0.03,-0.03,9.73,0.03,-0.03,7.207,0.023,-0.023,0.068,0.001,-0.001,0.07,0.052,-0.047
KOI-217 b,KOI-217,TIC 271354351,0.95,0.05,,15.257,0.069,-0.069,13.469,0.04,-0.04,0.0477,0.0007,-0.0007,0.0,,
KMT-2019-BLG-0953L b,KMT-2019-BLG-0953L,,0.28,0.32,-0.17,,,,,,,1.1,0.5,-0.4,,,
Proxima Cen d,Proxima Cen,TIC 388857263,0.1221,0.0022,-0.0022,11.01,0.1,-0.1,4.384,0.033,-0.033,0.02881,0.00017,-0.00017,0.0,,
TOI-1811 b,TOI-1811,TIC 376524552,0.817,0.033,-0.03,11.966,0.057,-0.057,9.643,0.025,-0.025,0.04389,0.00058,-0.00055,0.052,0.062,-0.037
TOI-5238 b,TOI-5238,TIC 219016883,1.0,0.094187,-0.160889,12.214,0.046,-0.046,10.627,0.016,-0.016,,,,,,
GJ 3090 b,GJ 3090,TIC 262530407,0.519,0.013,-0.013,11.403,0.026,-0.026,7.294,0.026,-0.026,0.03165,0.00027,-0.00027,0.32,,
HD 167768 b,HD 167768,TIC 2382387,1.08,0.14,-0.12,5.98894,0.023,-0.023,3.895,0.036,-0.036,0.1512,0.0058,-0.0063,0.149,0.101,-0.096
HATS-54 b,HATS-54,TIC 363851359,1.05,0.05,-0.05,13.937,0.08,-0.08,12.17,0.019,-0.019,0.037,0.001,-0.001,0.0,,
KMT-2021-BLG-1253L b,KMT-2021-BLG-1253L,,0.24,0.26,-0.13,,,,,,,1.52,0.57,-0.41,,,
TOI-2152 A b,TOI-2152,TIC 395393265,1.516,0.085,-0.1,11.436,0.016,-0.016,9.597,0.024,-0.024,0.05064,0.00093,-0.0011,0.057,0.068,-0.04
TOI-5542 b,TOI-5542,TIC 466206508,0.89,0.056,-0.031,12.42,0.046,-0.046,10.897,0.021,-0.021,0.332,0.016,-0.016,0.018,0.026,-0.013
NGTS-24 b,NGTS-24,TIC 151920165,1.26,0.05,-0.21,13.214,0.103,-0.103,11.51,0.021,-0.021,0.0479,0.0028,-0.003,0.0,,
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,,0.69,0.04,-0.04,,,,,,,5.9,0.7,-0.7,,,
TOI-2154 b,TOI-2154,TIC 428787891,1.233,0.077,-0.09,11.068,0.008,-0.008,9.85,0.025,-0.025,0.0513,0.0011,-0.0013,0.117,0.1,-0.079
TOI-2497 b,TOI-2497,TIC 97568467,1.859,0.087,-0.083,9.547,0.004,-0.004,8.486,0.016,-0.016,0.1166,0.0018,-0.0018,0.195,0.043,-0.04
NGTS-25 b,NGTS-25,TIC 290742484,0.91,0.03,-0.04,14.333,0.114,-0.114,12.324,0.023,-0.023,0.0388,0.0014,-0.002,0.0,,
TOI-277 b,TOI-277,TIC 439456714,0.16,0.01,-0.01,13.632,0.021,-0.021,9.557,0.023,-0.023,0.0269,0.0011,-0.0011,,,
Wolf 1069 b,Wolf 1069,TIC 352617553,0.167,0.011,-0.011,13.993,0.049,-0.049,8.095,0.021,-0.021,0.0672,0.0014,-0.0014,,,
TOI-836 c,TOI-836,TIC 440887364,0.678,0.049,-0.041,9.92,0.03,-0.03,6.804,0.018,-0.018,0.075,0.0016,-0.0016,0.078,0.056,-0.056
TOI-2338 b,TOI-2338,TIC 24358417,0.99,0.03,-0.02,12.483,0.03,-0.03,10.664,0.025,-0.025,0.158,0.003,-0.003,0.676,0.002,-0.002
KIC 3526061 b,KIC 3526061,TIC 399793957,1.42,0.041,-0.041,10.372,0.007,-0.007,7.776,0.029,-0.029,5.14,0.16,-0.16,0.85,0.01,-0.01
KMT-2021-BLG-2294L b,KMT-2021-BLG-2294L,,0.14,0.2,-0.07,,,,,,,1.15,0.2,-0.2,,,
TOI-1695 b,TOI-1695,TIC 422756130,0.513,0.012,-0.012,12.989,0.081,-0.081,8.818,0.021,-0.021,0.033548,0.00026,-0.000268,0.097,,
TOI-836 b,TOI-836,TIC 440887364,0.678,0.049,-0.041,9.92,0.03,-0.03,6.804,0.018,-0.018,0.0422,0.00093,-0.00093,0.053,0.042,-0.042
TOI-1937 A b,TOI-1937 A,TIC 268301217,1.072,0.059,-0.064,13.18,0.103,-0.103,11.226,0.021,-0.021,0.01932,0.00035,-0.00039,0.0,,
PZ Tel b,PZ Tel,TIC 406095880,1.36,0.15,-0.13,8.43,0.03,-0.03,6.366,0.024,-0.024,27.0,14.0,-4.0,0.52,0.08,-0.1
TOI-969 c,TOI-969,TIC 280437559,0.734,0.014,-0.014,11.646,0.031,-0.031,8.879,0.023,-0.023,2.52,0.27,-0.29,0.628,0.043,-0.036
HD 206893 c,HD 206893,TIC 155782207,1.32,0.07,-0.05,6.68804,0.023,-0.023,5.593,0.021,-0.021,3.53,0.08,-0.06,0.41,0.03,-0.03
KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,,0.14,0.19,-0.07,,,,,,,0.93,1.05,-0.8,,,
TOI-4184 b,TOI-4184,TIC 394357918,0.2109,0.029,-0.026,17.12,0.2,-0.2,11.867,0.025,-0.025,0.0336,0.0015,-0.0015,,,
TOI-4010 c,TOI-4010,TIC 352682207,0.88,0.03,-0.03,12.291,0.069,-0.069,10.157,0.021,-0.021,0.058,0.001,-0.001,0.03,0.03,-0.02
GJ 367 c,GJ 367,TIC 34068865,0.455,0.011,-0.011,10.153,0.044,-0.044,5.78,0.02,-0.02,,,,0.09,0.07,-0.07
GJ 367 d,GJ 367,TIC 34068865,0.455,0.011,-0.011,10.153,0.044,-0.044,5.78,0.02,-0.02,,,,0.14,0.09,-0.09
Kepler-323 c,Kepler-323,TIC 137150039,1.015,0.072,-0.07,12.78,0.092,-0.092,11.354,0.02,-0.02,0.0458,0.0011,-0.0011,0.095,,
Kepler-20 d,Kepler-20,TIC 158554588,0.929,0.053,-0.053,12.61,0.069,-0.069,10.871,0.013,-0.013,0.3474,0.0067,-0.0067,0.082,,
TOI-5340 b,TOI-5340,TIC 14156936,1.35,0.07,-0.15,12.399,0.08,-0.08,10.607,0.027,-0.027,0.0628,0.0011,-0.0024,0.13,,
TOI-4010 b,TOI-4010,TIC 352682207,0.88,0.03,-0.03,12.291,0.069,-0.069,10.157,0.021,-0.021,0.0229,0.0002,-0.0002,0.03,0.03,-0.02
HN Lib b,HN Lib,TIC 294401924,0.291,0.013,-0.013,11.311,0.026,-0.026,5.939,0.034,-0.034,0.1417,0.0023,-0.0023,0.079,0.09,-0.055
TOI-1630.01,TOI-1630,TIC 317597583,0.95,0.13,-0.13,9.624,0.004,-0.004,7.915,0.027,-0.027,0.101151,0.004254,-0.004637,,,
TOI-2194 b,TOI-2194,TIC 271478281,0.74,0.0854,-0.0854,8.42,0.03,-0.03,5.869,0.024,-0.024,,,,,,
TOI-2459 b,TOI-2459,TIC 192790476,0.66,0.0763,-0.0763,10.772,0.015,-0.015,7.574,0.026,-0.026,,,,,,
GJ 649 b,GJ 649,TIC 236743275,0.51,0.05,-0.05,9.7,0.1,-0.1,5.624,0.016,-0.016,1.112,0.035,-0.037,0.083,0.068,-0.055
TOI-4010 e,TOI-4010,TIC 352682207,0.88,0.03,-0.03,12.291,0.069,-0.069,10.157,0.021,-0.021,1.57,0.12,-0.13,0.26,0.04,-0.04
GJ 849 b,GJ 849,TIC 248027247,0.45,0.07,-0.07,10.41,0.1,-0.1,5.594,0.017,-0.017,2.32,0.11,-0.13,0.029,0.019,-0.019
TOI-1052 c,TOI-1052,TIC 317060587,1.204,0.025,-0.025,9.511,0.003,-0.003,8.246,0.025,-0.025,0.2263,0.0024,-0.0023,0.237,0.09,-0.082
Kepler-107 b,Kepler-107,TIC 27988327,1.238,0.029,-0.029,12.543,0.057,-0.057,11.06,0.016,-0.016,0.04544,0.00036,-0.00036,0.1,,
Kepler-37 d,Kepler-37,TIC 164652245,0.79,0.033,-0.03,9.770001,0.004,-0.004,7.942,0.013,-0.013,0.2109,0.003,-0.003,0.1,,
TOI-4308 b,TOI-4308,TIC 144193715,0.9,0.1133,-0.1133,11.251,0.014,-0.014,9.139,0.021,-0.021,,,,,,
GJ 328 b,GJ 328,TIC 265373654,0.65,0.08,-0.08,9.99,0.1,-0.1,6.352,0.026,-0.026,4.11,0.16,-0.18,0.227,0.015,-0.015
GJ 849 c,GJ 849,TIC 248027247,0.45,0.07,-0.07,10.41,0.1,-0.1,5.594,0.017,-0.017,4.95,0.25,-0.28,0.092,0.038,-0.036
Kepler-276 c,Kepler-276,TIC 138213510,1.1,0.22,-0.14,15.481,0.172,-0.172,13.838,0.053,-0.053,0.18619,0.00232,-0.00232,0.0,,
Kepler-20 f,Kepler-20,TIC 158554588,0.929,0.053,-0.053,12.61,0.069,-0.069,10.871,0.013,-0.013,0.1387,0.0027,-0.0027,0.094,,
TOI-5803 b,TOI-5803,TIC 466382581,0.87,0.1032,-0.1032,10.655,0.011,-0.011,8.684,0.021,-0.021,,,,,,
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,,0.7,0.37,-0.37,,,,,,,5.67,2.7,-2.7,,,
BD-210397 b,BD-210397,TIC 268804174,0.679,0.017,-0.017,9.84,0.03,-0.03,6.504,0.018,-0.018,2.63,0.06,-0.05,0.1,0.1,-0.1
GJ 328 c,GJ 328,TIC 265373654,0.65,0.08,-0.08,9.99,0.1,-0.1,6.352,0.026,-0.026,0.657,0.026,-0.028,,,
TOI-1470 b,TOI-1470,TIC 284441182,0.471,0.011,-0.011,13.459,0.036,-0.036,9.283,0.02,-0.02,0.0285,0.0004,-0.0004,0.3,,
TOI-1470 c,TOI-1470,TIC 284441182,0.471,0.011,-0.011,13.459,0.036,-0.036,9.283,0.02,-0.02,0.106,0.001,-0.001,0.5,,
KOI-13 b,KOI-13,TIC 158324245,1.72,0.1,-0.1,9.791,0.023,-0.023,9.425,0.014,-0.014,0.03641,0.00087,-0.00087,0.00064,0.00012,-0.00016
KMT-2019-BLG-2783L b,KMT-2019-BLG-2783L,,0.34,0.23,-0.23,,,,,,,1.85,0.93,-0.93,,,
HD 74698 c,HD 74698,TIC 308087983,1.039,0.025,-0.025,7.78,0.03,-0.03,6.23,0.027,-0.027,4.5,0.2,-0.2,0.2,0.2,-0.1
HD 94771 b,HD 94771,TIC 48974071,1.2,0.024,-0.024,7.37,0.03,-0.03,5.632,0.018,-0.018,3.48,0.03,-0.03,0.39,0.05,-0.04
HD 36384 b,HD 36384,TIC 418343111,1.14,0.15,-0.15,6.18839,0.023,-0.023,2.288,0.248,-0.248,1.3,0.1,-0.1,0.2,0.1,-0.1
MWC 758 c,MWC 758,TIC 73816033,1.5,,,8.270001,0.03,-0.03,5.804,0.023,-0.023,100.0,,,,,
Kepler-37 b,Kepler-37,TIC 164652245,0.79,0.033,-0.03,9.770001,0.004,-0.004,7.942,0.013,-0.013,0.1019,0.0014,-0.0014,0.098,,
Kepler-68 c,Kepler-68,TIC 417676622,1.057,0.022,-0.02,10.077,0.004,-0.004,8.588,0.022,-0.022,0.09008,0.00063,-0.00063,0.099,,
HD 207496 b,HD 207496,TIC 290348383,0.8,0.04,-0.04,8.23,0.03,-0.03,5.967,0.026,-0.026,0.0629,0.0011,-0.0011,0.231,0.042,-0.049
WASP-84 b,WASP-84,TIC 350293646,0.853,0.038,-0.038,10.825,0.011,-0.011,8.855,0.023,-0.023,0.0778,0.0021,-0.0021,0.0,,
GJ 9404 b,GJ 9404,TIC 328860504,0.62,0.07,-0.07,10.62,0.1,-0.1,6.796,0.02,-0.02,0.0943,0.0036,-0.0036,0.49,0.11,-0.13
HD 196050 b,HD 196050,TIC 351534793,1.27,0.06,-0.06,7.5,0.03,-0.03,6.034,0.027,-0.027,2.65,0.03,-0.03,0.2,0.01,-0.01
Kepler-1655 b,Kepler-1655,TIC 120973167,1.03,0.04,-0.04,11.045,0.01,-0.01,9.785,0.017,-0.017,0.1029,0.0014,-0.0014,0.19,,
Kepler-1876 b,Kepler-1876,TIC 171883078,1.187,0.075,-0.088,10.793,0.007,-0.007,9.472,0.018,-0.018,0.0758,0.0019,-0.0019,0.098,,
TOI-5678 b,TOI-5678,TIC 209464063,0.905,0.039,-0.041,11.438,0.012,-0.012,9.563,0.019,-0.019,0.249,0.005,-0.005,0.14,0.07,-0.07
AF Lep b,AF Lep,TIC 94945758,1.2,0.06,-0.06,6.332,0.035,-0.035,4.926,0.021,-0.021,8.4,1.1,-1.3,0.24,0.27,-0.15
rho CrB b,rho CrB,TIC 458494003,0.95,0.01,-0.01,5.40816,0.023,-0.023,3.857,0.036,-0.036,0.2245,0.0023,-0.0024,0.038,0.0025,-0.0025
HD 6860 b,HD 6860,TIC 174500619,2.49,,,2.06763,0.023,-0.023,-1.846,0.16,-0.16,2.03,0.01,-0.01,0.28,0.1,-0.09
KMT-2021-BLG-2010L b,KMT-2021-BLG-2010L,,0.37,0.4,-0.23,,,,,,,1.79,0.3,-0.38,,,
KMT-2022-BLG-0371L b,KMT-2022-BLG-0371L,,0.63,0.32,-0.28,,,,,,,3.02,0.45,-0.56,,,
Kepler-323 b,Kepler-323,TIC 137150039,1.015,0.072,-0.07,12.78,0.092,-0.092,11.354,0.02,-0.02,0.02778,0.00068,-0.00068,0.095,,
HD 165131 b,HD 165131,TIC 105138916,1.06,0.05,-0.05,8.42,0.03,-0.03,6.927,0.018,-0.018,3.54,0.054,-0.054,0.6708,0.0019,-0.0019
HD 89839 b,HD 89839,TIC 294028147,1.21,0.03,-0.03,7.64,0.03,-0.03,6.362,0.023,-0.023,4.761,0.042,-0.042,0.187,0.013,-0.013
rho CrB d,rho CrB,TIC 458494003,0.95,0.01,-0.01,5.40816,0.023,-0.023,3.857,0.036,-0.036,0.827,0.011,-0.011,0.0,,
rho CrB e,rho CrB,TIC 458494003,0.95,0.01,-0.01,5.40816,0.023,-0.023,3.857,0.036,-0.036,0.1061,0.0011,-0.0011,0.126,0.054,-0.078
Kepler-454 b,Kepler-454,TIC 121276638,1.03,0.04,-0.03,11.567,0.021,-0.021,9.968,0.018,-0.018,0.09528,0.0013,-0.00091,0.32,,
KMT-2022-BLG-0440L b,KMT-2022-BLG-0440L,,0.53,0.31,-0.26,,,,,,,1.9,0.6,-0.7,,,
TOI-1416 b,TOI-1416,TIC 158025009,0.798,0.035,-0.044,9.91,0.03,-0.03,7.708,0.024,-0.024,0.019,0.0003,-0.0003,0.0,,
Kepler-277 b,Kepler-277,TIC 120961424,1.12,0.19,-0.11,13.544,0.103,-0.103,11.966,0.023,-0.023,0.14168,0.00201,-0.00201,0.0,,
TOI-2095 b,TOI-2095,TIC 235678745,0.44,0.02,-0.02,13.19,0.2,-0.2,8.988,0.015,-0.015,0.101,0.005,-0.005,0.0,,
K2-417 b,K2-417,TIC 49592509,0.569,0.012,-0.012,13.909,0.077,-0.077,10.06,0.019,-0.019,0.063,0.006,-0.014,,,
GJ 508.2 b,GJ 508.2,TIC 43133318,0.54,0.12,-0.12,10.61,0.007,-0.007,6.555,9.995,-9.995,4.85,,,0.27,,
TOI-411 b,HD 22946,TIC 100990000,1.098,0.04,-0.039,8.270001,0.03,-0.03,6.981,0.029,-0.029,0.05727,0.00085,-0.00082,0.126,0.19,-0.009
TOI-1221 b,TOI-1221,TIC 349095149,0.93,0.22,-0.22,10.494,0.006,-0.006,9.036,0.021,-0.021,0.387,0.026,-0.023,0.21,,
TOI-4377 b,TOI-4377,TIC 394918211,1.36,0.08,-0.07,11.707,0.052,-0.052,9.148,0.024,-0.024,0.0579,0.001,-0.0011,0.045,0.053,-0.032
TOI-5293 A b,TOI-5293 A,TIC 250111245,0.54,0.02,-0.02,16.19,1.133,-1.133,11.639,0.035,-0.035,0.034,0.004,-0.003,0.38,,
K2-141 b,K2-141,TIC 301235044,0.708,0.028,-0.028,11.454,0.023,-0.023,8.401,0.023,-0.023,0.00747,0.0001,-0.0001,0.0,,
